Place,Type_of_Crime,Year
T Nagar,Rape / Sexual Assault,2025
Porur,Theft / Robbery,2026
Adyar,Chain Snatching / Theft,2025
Alandur,Chain Snatching / Theft,2025
Chetpet,Theft / Robbery,2024
T Nagar,Rape / Sexual Assault,2025
Urapakkam,Chain Snatching / Theft,2022
Nungambakkam,Theft / Robbery,2023
Royapettah,Assault / Attack,2022
Egmore,Other Crime,2023
Kodambakkam,Rape / Sexual Assault,2022
Adyar,Harassment / Cyber‑crime,2026
Alandur,Rape / Sexual Assault,2022
Kodambakkam,Theft / Robbery,2020
T Nagar,Chain Snatching / Theft,2024
Royapettah,Assault / Attack,2020
Velachery,Other Crime,2021
Koyambedu,Assault / Attack,2022
Perambur,Theft / Robbery,2023
Nungambakkam,Theft / Robbery,2023
Koyambedu,Theft / Robbery,2025
Chepauk,Theft / Robbery,2025
Sholinganallur,Rape / Sexual Assault,2023
Chepauk,Theft / Robbery,2022
Perambur,Assault / Attack,2022
Porur,Harassment / Cyber‑crime,2025
Guindy,Harassment / Cyber‑crime,2020
Adyar,Harassment / Cyber‑crime,2020
Porur,Murder,2025
Perambur,Theft / Robbery,2023
Nungambakkam,Harassment / Cyber‑crime,2021
Anna Nagar,Assault / Attack,2022
Koyambedu,Murder,2026
Egmore,Chain Snatching / Theft,2025
Alandur,Kidnapping / Abduction,2025
Tambaram,Assault / Attack,2023
Tambaram,Rape / Sexual Assault,2024
Nungambakkam,Kidnapping / Abduction,2026
Nungambakkam,Assault / Attack,2026
Ashok Nagar,Kidnapping / Abduction,2022
Besant Nagar,Kidnapping / Abduction,2025
Alandur,Chain Snatching / Theft,2021
Adyar,Assault / Attack,2022
Sholinganallur,Rape / Sexual Assault,2024
Besant Nagar,Harassment / Cyber‑crime,2023
Urapakkam,Harassment / Cyber‑crime,2026
Kodambakkam,Harassment / Cyber‑crime,2020
Guindy,Theft / Robbery,2024
Velachery,Theft / Robbery,2026
Velachery,Chain Snatching / Theft,2026
Guindy,Harassment / Cyber‑crime,2021
Chetpet,Chain Snatching / Theft,2023
Perambur,Kidnapping / Abduction,2024
Ashok Nagar,Assault / Attack,2021
Purasawalkam,Harassment / Cyber‑crime,2026
Besant Nagar,Chain Snatching / Theft,2026
Anna Nagar,Assault / Attack,2021
Ashok Nagar,Harassment / Cyber‑crime,2021
Koyambedu,Theft / Robbery,2020
Guindy,Assault / Attack,2026
Urapakkam,Harassment / Cyber‑crime,2021
Pallavaram,Theft / Robbery,2023
Vadapalani,Theft / Robbery,2023
T Nagar,Theft / Robbery,2024
Perambur,Theft / Robbery,2020
Guindy,Theft / Robbery,2022
Medavakkam,Assault / Attack,2026
Besant Nagar,Chain Snatching / Theft,2026
Anna Nagar,Assault / Attack,2025
Anna Nagar,Theft / Robbery,2020
Nungambakkam,Rape / Sexual Assault,2022
Saidapet,Harassment / Cyber‑crime,2024
Nungambakkam,Theft / Robbery,2022
Adyar,Chain Snatching / Theft,2026
Chepauk,Harassment / Cyber‑crime,2024
Adyar,Kidnapping / Abduction,2020
Guindy,Theft / Robbery,2026
Kodambakkam,Harassment / Cyber‑crime,2026
Chromepet,Theft / Robbery,2020
Medavakkam,Chain Snatching / Theft,2024
Ashok Nagar,Harassment / Cyber‑crime,2022
Mambalam,Theft / Robbery,2023
Royapettah,Theft / Robbery,2021
Tambaram,Theft / Robbery,2024
Porur,Harassment / Cyber‑crime,2026
Purasawalkam,Theft / Robbery,2024
Guindy,Assault / Attack,2020
Mambalam,Theft / Robbery,2024
Royapettah,Harassment / Cyber‑crime,2022
Besant Nagar,Chain Snatching / Theft,2025
Chetpet,Kidnapping / Abduction,2023
T Nagar,Kidnapping / Abduction,2021
Purasawalkam,Theft / Robbery,2021
Adyar,Rape / Sexual Assault,2025
Thiruvanmiyur,Harassment / Cyber‑crime,2022
Ashok Nagar,Theft / Robbery,2025
Purasawalkam,Assault / Attack,2022
Nungambakkam,Murder,2022
Royapettah,Theft / Robbery,2023
Chetpet,Murder,2026
Vadapalani,Chain Snatching / Theft,2026
T Nagar,Theft / Robbery,2022
Royapettah,Assault / Attack,2023
Chetpet,Murder,2021
Tambaram,Harassment / Cyber‑crime,2024
Guindy,Theft / Robbery,2023
Perambur,Chain Snatching / Theft,2026
Thiruvanmiyur,Chain Snatching / Theft,2026
Perambur,Theft / Robbery,2023
Mambalam,Chain Snatching / Theft,2023
Thiruvanmiyur,Other Crime,2025
Mambalam,Chain Snatching / Theft,2025
Kodambakkam,Chain Snatching / Theft,2020
Sholinganallur,Theft / Robbery,2022
Vadapalani,Assault / Attack,2023
Thiruvanmiyur,Rape / Sexual Assault,2022
Ashok Nagar,Rape / Sexual Assault,2021
Mambalam,Other Crime,2020
Mylapore,Theft / Robbery,2024
Sholinganallur,Harassment / Cyber‑crime,2022
Vadapalani,Chain Snatching / Theft,2020
Ashok Nagar,Chain Snatching / Theft,2022
Besant Nagar,Other Crime,2025
Velachery,Theft / Robbery,2025
Egmore,Murder,2023
Teynampet,Assault / Attack,2023
Pallavaram,Rape / Sexual Assault,2026
Alandur,Murder,2022
Egmore,Theft / Robbery,2022
Alandur,Kidnapping / Abduction,2022
Chromepet,Assault / Attack,2021
Besant Nagar,Theft / Robbery,2023
Alandur,Harassment / Cyber‑crime,2026
Anna Nagar,Theft / Robbery,2024
Alandur,Murder,2023
Tambaram,Kidnapping / Abduction,2026
Royapettah,Harassment / Cyber‑crime,2020
Chepauk,Kidnapping / Abduction,2022
Vadapalani,Murder,2024
Teynampet,Chain Snatching / Theft,2024
Sholinganallur,Harassment / Cyber‑crime,2020
Velachery,Assault / Attack,2023
Thiruvanmiyur,Harassment / Cyber‑crime,2024
Chepauk,Chain Snatching / Theft,2024
T Nagar,Assault / Attack,2024
Chromepet,Assault / Attack,2022
Porur,Other Crime,2020
Besant Nagar,Kidnapping / Abduction,2023
Royapettah,Assault / Attack,2021
Ashok Nagar,Harassment / Cyber‑crime,2026
Medavakkam,Theft / Robbery,2023
Pallavaram,Theft / Robbery,2022
Thiruvanmiyur,Assault / Attack,2025
Chromepet,Chain Snatching / Theft,2023
Teynampet,Chain Snatching / Theft,2022
Chromepet,Theft / Robbery,2025
Sholinganallur,Assault / Attack,2025
Mambalam,Theft / Robbery,2024
Chromepet,Other Crime,2020
Sholinganallur,Other Crime,2024
Royapettah,Harassment / Cyber‑crime,2025
Royapettah,Chain Snatching / Theft,2021
Medavakkam,Harassment / Cyber‑crime,2022
Porur,Assault / Attack,2025
Guindy,Rape / Sexual Assault,2020
Chromepet,Assault / Attack,2025
Teynampet,Harassment / Cyber‑crime,2023
T Nagar,Harassment / Cyber‑crime,2023
Koyambedu,Theft / Robbery,2020
Urapakkam,Chain Snatching / Theft,2025
Chetpet,Theft / Robbery,2023
Tambaram,Assault / Attack,2024
Alandur,Harassment / Cyber‑crime,2024
Chepauk,Harassment / Cyber‑crime,2025
Tambaram,Harassment / Cyber‑crime,2026
Urapakkam,Theft / Robbery,2024
Urapakkam,Theft / Robbery,2023
Porur,Harassment / Cyber‑crime,2026
Chromepet,Assault / Attack,2024
Koyambedu,Theft / Robbery,2022
Porur,Harassment / Cyber‑crime,2021
Urapakkam,Assault / Attack,2025
Saidapet,Harassment / Cyber‑crime,2023
Guindy,Chain Snatching / Theft,2024
Tambaram,Theft / Robbery,2023
Pallavaram,Murder,2021
T Nagar,Kidnapping / Abduction,2024
Purasawalkam,Harassment / Cyber‑crime,2020
Tambaram,Harassment / Cyber‑crime,2023
Perambur,Chain Snatching / Theft,2024
Pallavaram,Chain Snatching / Theft,2023
Egmore,Other Crime,2025
Royapettah,Assault / Attack,2025
Medavakkam,Assault / Attack,2025
Chromepet,Assault / Attack,2020
Pallavaram,Theft / Robbery,2021
Urapakkam,Assault / Attack,2024
Velachery,Theft / Robbery,2026
Tambaram,Chain Snatching / Theft,2025
Nungambakkam,Assault / Attack,2025
T Nagar,Assault / Attack,2022
Guindy,Theft / Robbery,2023
Porur,Rape / Sexual Assault,2023
Chetpet,Murder,2021
Teynampet,Assault / Attack,2020
Mylapore,Rape / Sexual Assault,2026
Kodambakkam,Harassment / Cyber‑crime,2022
Kodambakkam,Chain Snatching / Theft,2022
Tambaram,Chain Snatching / Theft,2020
Purasawalkam,Harassment / Cyber‑crime,2026
Egmore,Theft / Robbery,2024
Medavakkam,Chain Snatching / Theft,2024
T Nagar,Chain Snatching / Theft,2026
Chetpet,Theft / Robbery,2022
Chetpet,Harassment / Cyber‑crime,2024
Medavakkam,Theft / Robbery,2020
Pallavaram,Chain Snatching / Theft,2021
Teynampet,Other Crime,2025
Porur,Murder,2025
Guindy,Chain Snatching / Theft,2023
T Nagar,Harassment / Cyber‑crime,2023
Vadapalani,Other Crime,2024
Chetpet,Assault / Attack,2020
Mylapore,Chain Snatching / Theft,2022
Chepauk,Rape / Sexual Assault,2022
Chetpet,Theft / Robbery,2022
Alandur,Rape / Sexual Assault,2025
Porur,Other Crime,2022
Guindy,Chain Snatching / Theft,2021
Royapettah,Chain Snatching / Theft,2024
Vadapalani,Chain Snatching / Theft,2025
Perambur,Rape / Sexual Assault,2022
Adyar,Theft / Robbery,2020
Mylapore,Rape / Sexual Assault,2023
Tambaram,Theft / Robbery,2025
T Nagar,Theft / Robbery,2024
Medavakkam,Assault / Attack,2025
Perambur,Theft / Robbery,2026
Guindy,Rape / Sexual Assault,2025
Egmore,Theft / Robbery,2024
Mylapore,Rape / Sexual Assault,2023
Chepauk,Other Crime,2020
Purasawalkam,Kidnapping / Abduction,2026
Chepauk,Other Crime,2023
Purasawalkam,Assault / Attack,2021
Besant Nagar,Theft / Robbery,2024
Saidapet,Kidnapping / Abduction,2022
Nungambakkam,Theft / Robbery,2024
Sholinganallur,Theft / Robbery,2024
Adyar,Theft / Robbery,2023
Royapettah,Rape / Sexual Assault,2025
Thiruvanmiyur,Theft / Robbery,2022
Purasawalkam,Theft / Robbery,2023
Chetpet,Harassment / Cyber‑crime,2024
Saidapet,Rape / Sexual Assault,2024
Pallavaram,Theft / Robbery,2025
Teynampet,Chain Snatching / Theft,2023
Kodambakkam,Rape / Sexual Assault,2024
Teynampet,Theft / Robbery,2021
T Nagar,Chain Snatching / Theft,2026
Chetpet,Theft / Robbery,2023
Thiruvanmiyur,Rape / Sexual Assault,2025
Tambaram,Assault / Attack,2020
Saidapet,Theft / Robbery,2022
Porur,Assault / Attack,2023
Tambaram,Chain Snatching / Theft,2025
Nungambakkam,Rape / Sexual Assault,2024
Porur,Assault / Attack,2026
Medavakkam,Assault / Attack,2023
Pallavaram,Rape / Sexual Assault,2023
Egmore,Harassment / Cyber‑crime,2021
T Nagar,Theft / Robbery,2025
Perambur,Assault / Attack,2022
Adyar,Rape / Sexual Assault,2025
Sholinganallur,Assault / Attack,2026
Besant Nagar,Theft / Robbery,2026
Kodambakkam,Chain Snatching / Theft,2024
Egmore,Rape / Sexual Assault,2024
Mylapore,Assault / Attack,2025
Chetpet,Assault / Attack,2021
Chetpet,Harassment / Cyber‑crime,2024
Anna Nagar,Assault / Attack,2020
Sholinganallur,Harassment / Cyber‑crime,2023
Adyar,Kidnapping / Abduction,2021
Adyar,Chain Snatching / Theft,2021
Velachery,Theft / Robbery,2023
Urapakkam,Assault / Attack,2023
Mambalam,Chain Snatching / Theft,2024
Egmore,Other Crime,2020
Thiruvanmiyur,Chain Snatching / Theft,2024
Anna Nagar,Theft / Robbery,2021
Mylapore,Theft / Robbery,2024
Sholinganallur,Assault / Attack,2024
Ashok Nagar,Harassment / Cyber‑crime,2024
Royapettah,Assault / Attack,2025
Anna Nagar,Assault / Attack,2022
Chepauk,Chain Snatching / Theft,2025
Chromepet,Theft / Robbery,2023
Kodambakkam,Chain Snatching / Theft,2023
Urapakkam,Assault / Attack,2024
Chepauk,Theft / Robbery,2020
Alandur,Assault / Attack,2024
Purasawalkam,Kidnapping / Abduction,2024
Chetpet,Rape / Sexual Assault,2022
Chromepet,Theft / Robbery,2020
Pallavaram,Other Crime,2020
Tambaram,Theft / Robbery,2026
Chromepet,Assault / Attack,2024
Purasawalkam,Assault / Attack,2021
Mambalam,Assault / Attack,2023
Guindy,Harassment / Cyber‑crime,2024
Egmore,Theft / Robbery,2025
Koyambedu,Assault / Attack,2020
Vadapalani,Theft / Robbery,2022
Teynampet,Harassment / Cyber‑crime,2025
Mambalam,Rape / Sexual Assault,2020
Royapettah,Assault / Attack,2022
Royapettah,Theft / Robbery,2026
Besant Nagar,Theft / Robbery,2024
Purasawalkam,Theft / Robbery,2022
Nungambakkam,Theft / Robbery,2020
Ashok Nagar,Chain Snatching / Theft,2020
Ashok Nagar,Theft / Robbery,2022
Porur,Chain Snatching / Theft,2025
Koyambedu,Other Crime,2023
Egmore,Assault / Attack,2025
Chetpet,Rape / Sexual Assault,2026
Adyar,Theft / Robbery,2023
Besant Nagar,Kidnapping / Abduction,2021
Velachery,Theft / Robbery,2024
Pallavaram,Rape / Sexual Assault,2026
Thiruvanmiyur,Assault / Attack,2025
Kodambakkam,Chain Snatching / Theft,2020
Nungambakkam,Kidnapping / Abduction,2024
Mambalam,Theft / Robbery,2024
Velachery,Harassment / Cyber‑crime,2026
Egmore,Theft / Robbery,2021
Chromepet,Theft / Robbery,2024
Adyar,Chain Snatching / Theft,2025
Vadapalani,Theft / Robbery,2023
Velachery,Theft / Robbery,2023
Ashok Nagar,Murder,2020
Anna Nagar,Chain Snatching / Theft,2022
Chetpet,Kidnapping / Abduction,2022
Thiruvanmiyur,Harassment / Cyber‑crime,2026
Kodambakkam,Kidnapping / Abduction,2022
Royapettah,Theft / Robbery,2023
Thiruvanmiyur,Assault / Attack,2024
Alandur,Theft / Robbery,2021
Vadapalani,Rape / Sexual Assault,2023
Velachery,Assault / Attack,2025
Alandur,Chain Snatching / Theft,2025
Guindy,Murder,2024
Egmore,Theft / Robbery,2024
Anna Nagar,Theft / Robbery,2021
Koyambedu,Theft / Robbery,2026
Vadapalani,Chain Snatching / Theft,2021
Thiruvanmiyur,Assault / Attack,2025
Teynampet,Assault / Attack,2022
Kodambakkam,Kidnapping / Abduction,2026
Koyambedu,Theft / Robbery,2025
Chromepet,Assault / Attack,2025
Ashok Nagar,Assault / Attack,2022
Thiruvanmiyur,Assault / Attack,2023
Medavakkam,Other Crime,2024
Urapakkam,Kidnapping / Abduction,2025
Ashok Nagar,Theft / Robbery,2021
Purasawalkam,Chain Snatching / Theft,2026
Egmore,Theft / Robbery,2025
Medavakkam,Murder,2022
Royapettah,Theft / Robbery,2025
Besant Nagar,Theft / Robbery,2024
T Nagar,Assault / Attack,2023
Tambaram,Harassment / Cyber‑crime,2022
Thiruvanmiyur,Chain Snatching / Theft,2024
Nungambakkam,Assault / Attack,2025
Tambaram,Assault / Attack,2023
Ashok Nagar,Rape / Sexual Assault,2024
Porur,Murder,2024
Thiruvanmiyur,Assault / Attack,2025
Besant Nagar,Assault / Attack,2020
Guindy,Chain Snatching / Theft,2025
Besant Nagar,Theft / Robbery,2023
Nungambakkam,Murder,2022
Chromepet,Assault / Attack,2022
Alandur,Theft / Robbery,2023
Teynampet,Murder,2025
Guindy,Harassment / Cyber‑crime,2023
Mylapore,Rape / Sexual Assault,2025
Royapettah,Harassment / Cyber‑crime,2020
Egmore,Theft / Robbery,2023
Chetpet,Theft / Robbery,2026
Perambur,Theft / Robbery,2025
Chepauk,Chain Snatching / Theft,2022
Royapettah,Theft / Robbery,2024
Royapettah,Kidnapping / Abduction,2022
Adyar,Rape / Sexual Assault,2023
Chepauk,Kidnapping / Abduction,2025
T Nagar,Theft / Robbery,2025
Ashok Nagar,Harassment / Cyber‑crime,2022
Nungambakkam,Assault / Attack,2026
Perambur,Chain Snatching / Theft,2024
Sholinganallur,Theft / Robbery,2023
Tambaram,Rape / Sexual Assault,2024
Mylapore,Murder,2024
Sholinganallur,Chain Snatching / Theft,2024
Besant Nagar,Assault / Attack,2023
Chromepet,Kidnapping / Abduction,2024
Urapakkam,Theft / Robbery,2021
Alandur,Theft / Robbery,2025
Koyambedu,Murder,2024
Besant Nagar,Other Crime,2021
Egmore,Harassment / Cyber‑crime,2025
Mambalam,Chain Snatching / Theft,2026
Ashok Nagar,Theft / Robbery,2026
Egmore,Harassment / Cyber‑crime,2023
Thiruvanmiyur,Harassment / Cyber‑crime,2021
Mambalam,Theft / Robbery,2024
Mambalam,Chain Snatching / Theft,2021
Guindy,Chain Snatching / Theft,2026
Chromepet,Chain Snatching / Theft,2021
T Nagar,Harassment / Cyber‑crime,2022
Vadapalani,Theft / Robbery,2023
Porur,Theft / Robbery,2023
Besant Nagar,Other Crime,2025
Guindy,Murder,2023
Kodambakkam,Harassment / Cyber‑crime,2021
Vadapalani,Harassment / Cyber‑crime,2022
Teynampet,Harassment / Cyber‑crime,2024
Mylapore,Other Crime,2021
Mylapore,Theft / Robbery,2024
Pallavaram,Theft / Robbery,2024
Adyar,Rape / Sexual Assault,2025
Anna Nagar,Assault / Attack,2026
Anna Nagar,Theft / Robbery,2026
Tambaram,Theft / Robbery,2026
Urapakkam,Chain Snatching / Theft,2022
Velachery,Chain Snatching / Theft,2021
Egmore,Theft / Robbery,2022
Anna Nagar,Theft / Robbery,2025
Tambaram,Chain Snatching / Theft,2026
Adyar,Rape / Sexual Assault,2025
Anna Nagar,Rape / Sexual Assault,2021
Alandur,Theft / Robbery,2026
Alandur,Assault / Attack,2023
Chromepet,Theft / Robbery,2020
Porur,Other Crime,2023
Chromepet,Assault / Attack,2020
Kodambakkam,Assault / Attack,2024
Vadapalani,Theft / Robbery,2022
Chetpet,Assault / Attack,2023
Chromepet,Harassment / Cyber‑crime,2024
Perambur,Kidnapping / Abduction,2025
Anna Nagar,Kidnapping / Abduction,2024
Urapakkam,Assault / Attack,2023
Saidapet,Chain Snatching / Theft,2025
Chepauk,Chain Snatching / Theft,2026
Tambaram,Kidnapping / Abduction,2021
Guindy,Rape / Sexual Assault,2024
Thiruvanmiyur,Murder,2022
Chromepet,Theft / Robbery,2020
Chetpet,Harassment / Cyber‑crime,2024
Adyar,Assault / Attack,2025
Royapettah,Assault / Attack,2021
Saidapet,Chain Snatching / Theft,2025
Velachery,Chain Snatching / Theft,2025
Guindy,Chain Snatching / Theft,2026
Vadapalani,Theft / Robbery,2022
Pallavaram,Harassment / Cyber‑crime,2026
Vadapalani,Theft / Robbery,2022
Anna Nagar,Theft / Robbery,2024
Perambur,Theft / Robbery,2020
Alandur,Theft / Robbery,2020
Ashok Nagar,Assault / Attack,2025
Mambalam,Chain Snatching / Theft,2023
Koyambedu,Rape / Sexual Assault,2022
Ashok Nagar,Harassment / Cyber‑crime,2021
Perambur,Assault / Attack,2024
Kodambakkam,Theft / Robbery,2020
Saidapet,Assault / Attack,2025
Teynampet,Theft / Robbery,2020
Chromepet,Assault / Attack,2021
Chetpet,Assault / Attack,2023
Ashok Nagar,Theft / Robbery,2023
Thiruvanmiyur,Rape / Sexual Assault,2023
Royapettah,Assault / Attack,2022
Ashok Nagar,Chain Snatching / Theft,2026
Teynampet,Theft / Robbery,2024
Purasawalkam,Harassment / Cyber‑crime,2020
Perambur,Harassment / Cyber‑crime,2023
Thiruvanmiyur,Chain Snatching / Theft,2025
Teynampet,Chain Snatching / Theft,2022
Mambalam,Assault / Attack,2020
Tambaram,Harassment / Cyber‑crime,2025
Saidapet,Chain Snatching / Theft,2024
Guindy,Theft / Robbery,2024
Pallavaram,Theft / Robbery,2020
Alandur,Murder,2021
Chetpet,Chain Snatching / Theft,2024
Porur,Chain Snatching / Theft,2022
Pallavaram,Rape / Sexual Assault,2024
Urapakkam,Assault / Attack,2024
Sholinganallur,Assault / Attack,2022
Teynampet,Rape / Sexual Assault,2026
Mylapore,Other Crime,2025
Pallavaram,Theft / Robbery,2025
Alandur,Rape / Sexual Assault,2020
Kodambakkam,Assault / Attack,2021
Teynampet,Harassment / Cyber‑crime,2023
Chromepet,Murder,2021
Purasawalkam,Harassment / Cyber‑crime,2026
Chepauk,Assault / Attack,2021
Mylapore,Rape / Sexual Assault,2023
Anna Nagar,Theft / Robbery,2023
Medavakkam,Assault / Attack,2024
Koyambedu,Theft / Robbery,2021
Egmore,Chain Snatching / Theft,2023
Mylapore,Chain Snatching / Theft,2022
Adyar,Other Crime,2025
Besant Nagar,Theft / Robbery,2020
Guindy,Other Crime,2026
Ashok Nagar,Assault / Attack,2025
Chetpet,Theft / Robbery,2022
Chetpet,Rape / Sexual Assault,2025
Anna Nagar,Rape / Sexual Assault,2020
Teynampet,Harassment / Cyber‑crime,2026
Perambur,Assault / Attack,2024
Chepauk,Theft / Robbery,2022
Chromepet,Harassment / Cyber‑crime,2023
Nungambakkam,Theft / Robbery,2020
Porur,Assault / Attack,2026
Royapettah,Theft / Robbery,2020
Vadapalani,Chain Snatching / Theft,2024
Koyambedu,Chain Snatching / Theft,2023
Pallavaram,Assault / Attack,2026
T Nagar,Theft / Robbery,2022
Saidapet,Theft / Robbery,2024
Koyambedu,Chain Snatching / Theft,2023
Kodambakkam,Theft / Robbery,2025
Anna Nagar,Theft / Robbery,2020
Urapakkam,Rape / Sexual Assault,2021
Egmore,Assault / Attack,2022
Chetpet,Assault / Attack,2025
Mylapore,Chain Snatching / Theft,2021
Kodambakkam,Theft / Robbery,2024
Egmore,Theft / Robbery,2022
Urapakkam,Chain Snatching / Theft,2025
Alandur,Chain Snatching / Theft,2026
Chetpet,Theft / Robbery,2024
Koyambedu,Assault / Attack,2023
Koyambedu,Theft / Robbery,2022
Pallavaram,Chain Snatching / Theft,2020
Mylapore,Rape / Sexual Assault,2022
Alandur,Chain Snatching / Theft,2024
Teynampet,Harassment / Cyber‑crime,2024
Purasawalkam,Assault / Attack,2026
Sholinganallur,Murder,2023
Porur,Assault / Attack,2024
Urapakkam,Assault / Attack,2023
Chromepet,Theft / Robbery,2024
Porur,Harassment / Cyber‑crime,2022
Urapakkam,Other Crime,2023
Thiruvanmiyur,Assault / Attack,2023
Anna Nagar,Harassment / Cyber‑crime,2025
Vadapalani,Rape / Sexual Assault,2026
Saidapet,Assault / Attack,2022
Chepauk,Rape / Sexual Assault,2020
Anna Nagar,Harassment / Cyber‑crime,2023
Perambur,Chain Snatching / Theft,2024
Vadapalani,Harassment / Cyber‑crime,2021
Kodambakkam,Rape / Sexual Assault,2025
Urapakkam,Theft / Robbery,2026
Vadapalani,Assault / Attack,2026
Teynampet,Assault / Attack,2021
Sholinganallur,Chain Snatching / Theft,2025
Adyar,Chain Snatching / Theft,2025
T Nagar,Harassment / Cyber‑crime,2023
Urapakkam,Theft / Robbery,2024
Chromepet,Theft / Robbery,2025
Mylapore,Rape / Sexual Assault,2023
Koyambedu,Theft / Robbery,2023
Purasawalkam,Assault / Attack,2023
Chepauk,Harassment / Cyber‑crime,2024
Urapakkam,Harassment / Cyber‑crime,2021
Pallavaram,Rape / Sexual Assault,2026
Nungambakkam,Theft / Robbery,2024
Pallavaram,Theft / Robbery,2024
Urapakkam,Theft / Robbery,2020
Adyar,Chain Snatching / Theft,2024
Vadapalani,Murder,2021
Saidapet,Assault / Attack,2020
T Nagar,Theft / Robbery,2024
Thiruvanmiyur,Chain Snatching / Theft,2023
Purasawalkam,Assault / Attack,2024
Perambur,Theft / Robbery,2020
Mambalam,Assault / Attack,2023
Perambur,Harassment / Cyber‑crime,2021
Chromepet,Other Crime,2026
Vadapalani,Theft / Robbery,2024
Chepauk,Chain Snatching / Theft,2024
Nungambakkam,Chain Snatching / Theft,2022
Anna Nagar,Chain Snatching / Theft,2020
Alandur,Harassment / Cyber‑crime,2026
Ashok Nagar,Harassment / Cyber‑crime,2022
Adyar,Assault / Attack,2023
Porur,Kidnapping / Abduction,2024
Adyar,Assault / Attack,2020
Besant Nagar,Harassment / Cyber‑crime,2025
Medavakkam,Assault / Attack,2024
Velachery,Harassment / Cyber‑crime,2022
Teynampet,Chain Snatching / Theft,2020
Chepauk,Rape / Sexual Assault,2021
Purasawalkam,Chain Snatching / Theft,2025
Chepauk,Assault / Attack,2024
Besant Nagar,Chain Snatching / Theft,2022
Urapakkam,Assault / Attack,2020
Koyambedu,Theft / Robbery,2024
Egmore,Chain Snatching / Theft,2024
Vadapalani,Theft / Robbery,2023
Teynampet,Chain Snatching / Theft,2023
Sholinganallur,Assault / Attack,2022
Nungambakkam,Assault / Attack,2024
Alandur,Theft / Robbery,2026
Guindy,Assault / Attack,2021
Sholinganallur,Theft / Robbery,2024
Porur,Murder,2023
Royapettah,Theft / Robbery,2023
Thiruvanmiyur,Murder,2022
Tambaram,Other Crime,2025
Koyambedu,Other Crime,2023
Purasawalkam,Theft / Robbery,2024
Kodambakkam,Harassment / Cyber‑crime,2022
Besant Nagar,Theft / Robbery,2021
Egmore,Harassment / Cyber‑crime,2020
Vadapalani,Chain Snatching / Theft,2025
Ashok Nagar,Chain Snatching / Theft,2021
Mambalam,Assault / Attack,2024
Chromepet,Kidnapping / Abduction,2023
Ashok Nagar,Theft / Robbery,2023
Mylapore,Other Crime,2023
Chepauk,Murder,2023
Velachery,Harassment / Cyber‑crime,2021
Adyar,Harassment / Cyber‑crime,2022
Adyar,Harassment / Cyber‑crime,2024
Royapettah,Rape / Sexual Assault,2024
Perambur,Chain Snatching / Theft,2022
Chetpet,Theft / Robbery,2023
Chromepet,Harassment / Cyber‑crime,2021
Mambalam,Theft / Robbery,2022
Mylapore,Theft / Robbery,2020
Sholinganallur,Assault / Attack,2025
Ashok Nagar,Assault / Attack,2022
Chromepet,Theft / Robbery,2022
Porur,Theft / Robbery,2022
Alandur,Assault / Attack,2021
Kodambakkam,Kidnapping / Abduction,2024
Mylapore,Chain Snatching / Theft,2020
Pallavaram,Rape / Sexual Assault,2021
Pallavaram,Theft / Robbery,2024
Urapakkam,Rape / Sexual Assault,2022
Chromepet,Murder,2025
Chepauk,Harassment / Cyber‑crime,2024
Mylapore,Harassment / Cyber‑crime,2022
Mylapore,Theft / Robbery,2024
Velachery,Theft / Robbery,2021
Koyambedu,Murder,2024
Chepauk,Chain Snatching / Theft,2023
Porur,Other Crime,2022
Perambur,Rape / Sexual Assault,2024
Vadapalani,Theft / Robbery,2025
Mambalam,Chain Snatching / Theft,2026
Nungambakkam,Chain Snatching / Theft,2024
Purasawalkam,Assault / Attack,2023
Adyar,Rape / Sexual Assault,2022
Egmore,Murder,2022
Besant Nagar,Assault / Attack,2023
Mambalam,Theft / Robbery,2023
Chepauk,Murder,2026
Mylapore,Assault / Attack,2023
Alandur,Murder,2023
Medavakkam,Kidnapping / Abduction,2023
Porur,Theft / Robbery,2025
Mambalam,Murder,2024
Mylapore,Assault / Attack,2024
Vadapalani,Theft / Robbery,2022
Egmore,Other Crime,2025
Anna Nagar,Assault / Attack,2020
Kodambakkam,Theft / Robbery,2025
Mambalam,Harassment / Cyber‑crime,2024
Perambur,Theft / Robbery,2023
Guindy,Chain Snatching / Theft,2023
Vadapalani,Theft / Robbery,2024
Adyar,Assault / Attack,2020
Besant Nagar,Rape / Sexual Assault,2025
Alandur,Assault / Attack,2023
Egmore,Chain Snatching / Theft,2022
Chepauk,Chain Snatching / Theft,2021
Medavakkam,Theft / Robbery,2023
Perambur,Theft / Robbery,2023
Velachery,Chain Snatching / Theft,2023
Guindy,Chain Snatching / Theft,2024
Alandur,Rape / Sexual Assault,2023
Adyar,Assault / Attack,2026
Saidapet,Theft / Robbery,2024
Ashok Nagar,Chain Snatching / Theft,2025
Pallavaram,Rape / Sexual Assault,2021
Velachery,Theft / Robbery,2023
Adyar,Kidnapping / Abduction,2022
Medavakkam,Rape / Sexual Assault,2024
Saidapet,Assault / Attack,2025
Koyambedu,Assault / Attack,2020
Medavakkam,Theft / Robbery,2020
Adyar,Theft / Robbery,2025
Koyambedu,Assault / Attack,2022
Chromepet,Theft / Robbery,2024
Pallavaram,Assault / Attack,2024
